codice_istat;cap
004207;12029
004032;12030
004041;12030
004042;12030
004045;12030
004058;12030
004059;12030
004077;12030
004085;12030
004087;12030
004094;12030
004104;12030
004116;12030
004117;12030
004121;12030
004128;12030
004146;12030
004154;12030
004156;12030
004158;12030
004171;12030
004181;12030
004198;12030
004209;12030
004217;12030
004228;12030
004246;12030
004009;12031
004012;12032
004143;12033
004157;12034
004179;12035
004180;12036
004203;12037
004215;12038
004240;12039
004010;12040
004049;12040
004062;12040
004065;12040
004072;12040
004096;12040
004099;12040
004118;12040
004135;12040
004136;12040
004140;12040
004144;12040
004168;12040
004176;12040
004202;12040
004208;12040
004211;12040
004214;12040
004223;12040
004241;12040
004019;12041
004029;12042
004037;12043
004061;12044
004089;12045
004133;12046
004189;12047
004222;12048
004232;12049
004004;12050
004007;12050
004011;12050
004020;12050
004024;12050
004026;12050
004046;12050
004051;12050
004057;12050
004063;12050
004070;12050
004076;12050
004088;12050
004101;12050
004106;12050
004113;12050
004137;12050
004149;12050
004150;12050
004193;12050
004195;12050
004196;12050
004206;12050
004218;12050
004219;12050
004220;12050
004226;12050
004230;12050
004231;12050
004003;12051
004148;12052
004056;12053
004074;12054
004080;12055
004115;12056
004213;12058
004013;12060
004014;12060
004018;12060
004023;12060
004027;12060
004052;12060
004055;12060
004069;12060
004071;12060
004086;12060
004100;12060
004102;12060
004107;12060
004114;12060
004120;12060
004129;12060
004145;12060
004151;12060
004152;12060
004169;12060
004170;12060
004188;12060
004194;12060
004221;12060
004238;12060
004043;12061
004067;12062
004081;12063
004105;12064
004132;12065
004142;12066
004147;12068
004212;12069
004005;12070
004015;12070
004039;12070
004050;12070
004054;12070
004097;12070
004098;12070
004109;12070
004111;12070
004124;12070
004125;12070
004141;12070
004153;12070
004160;12070
004161;12070
004162;12070
004164;12070
004175;12070
004177;12070
004199;12070
004200;12070
004216;12070
004229;12070
004249;12070
004008;12071
009037;12071
004035;12072
004066;12073
004184;12073
004021;12074
004073;12074
004095;12075
004108;12076
004131;12077
004178;12077
004155;12078
004201;12079
004030;12080
004126;12080
004127;12080
004134;12080
004165;12080
004186;12080
004210;12080
004227;12080
004242;12080
004016;12081
004090;12082
004091;12083
004130;12084
004159;12087
004190;12088
004245;12089
004078;12100
002030;13010
002043;13010
002066;13010
002082;13010
002093;13010
002102;13010
002142;13010
002164;13010
002016;13011
002017;13012
002104;13012
002107;13017
002152;13018
002156;13019
002008;13020
002048;13020
002078;13020
002096;13020
002097;13020
002110;13020
002113;13020
002121;13020
002166;13020
002002;13021
002014;13022
002025;13023
002171;13024
002041;13025
002057;13025
002029;13026
002134;13027
002135;13028
002170;13029
002003;13030
002031;13030
002033;13030
002035;13030
002045;13030
002059;13030
002062;13030
002065;13030
002089;13030
002091;13030
002108;13030
002115;13030
002163;13030
002006;13031
002007;13032
002047;13033
002054;13034
002070;13034
002068;13035
002118;13036
002137;13037
002147;13038
002148;13039
002004;13040
002009;13040
002015;13040
002021;13040
002032;13040
002052;13040
002058;13040
002079;13040
002090;13040
002122;13040
002126;13040
002127;13040
002128;13040
002011;13041
002042;13043
002049;13044
002061;13045
002072;13045
002067;13046
002071;13046
002088;13047
002131;13047
002133;13048
002150;13049
002116;13060
002158;13100
096002;13811
096066;13811
096044;13812
096086;13812
096046;13814
096055;13815
096034;13816
096056;13816
096063;13817
096068;13818
096008;13821
096009;13821
096065;13823
096075;13824
096033;13831
096048;13833
096088;13835
096020;13836
096005;13841
096042;13843
096043;13844
096067;13844
096053;13845
096072;13847
096074;13847
096083;13848
096015;13851
096085;13853
096087;13854
096071;13855
096077;13856
096001;13861
096007;13862
096019;13863
096013;13864
096021;13864
096023;13865
096014;13866
096032;13866
096050;13867
096064;13868
096078;13868
096003;13871
096076;13871
096006;13872
096031;13873
096027;13874
096037;13874
096047;13875
096059;13876
096079;13877
096012;13878
096016;13881
096025;13881
096018;13882
096054;13883
096057;13884
096069;13884
096058;13885
096080;13886
096030;13887
096081;13887
096035;13888
096082;13888
096010;13891
096024;13893
096026;13894
096028;13895
096038;13895
096039;13896
096040;13897
096041;13898
096049;13899
096004;13900
005003;14010
005018;14010
005033;14010
005034;14010
005040;14010
005047;14010
005052;14010
005090;14010
005099;14010
005101;14010
005114;14010
005007;14011
005053;14012
005026;14013
005045;14013
005067;14013
005019;14014
005073;14014
005097;14015
005108;14016
005112;14017
005062;14018
005091;14018
005117;14018
005118;14019
005004;14020
005009;14020
005016;14020
005035;14020
005039;14020
005044;14020
005046;14020
005049;14020
005082;14020
005084;14020
005085;14020
005092;14020
005106;14020
005107;14020
005119;14020
005012;14021
005002;14022
005031;14022
005042;14023
005070;14024
005038;14025
005075;14025
005051;14026
005086;14026
005121;14026
005122;14027
005006;14030
005023;14030
005036;14030
005055;14030
005077;14030
005083;14030
005089;14030
005093;14030
005096;14030
005103;14030
005115;14030
005014;14031
005056;14031
005020;14032
005025;14033
005028;14034
005057;14035
005069;14036
005087;14037
005109;14039
005008;14040
005024;14040
005027;14040
005030;14040
005048;14040
005061;14040
005071;14040
005072;14040
005088;14040
005116;14040
005120;14040
005001;14041
005013;14042
005095;14042
005029;14043
005032;14044
005054;14044
005058;14045
005010;14046
005065;14046
005066;14047
005074;14048
005076;14048
005080;14049
005111;14049
005021;14050
005037;14050
005063;14050
005064;14050
005081;14050
005094;14050
005100;14050
005104;14050
005011;14051
005060;14051
005015;14052
005017;14053
005022;14054
005041;14054
005050;14055
005059;14057
005068;14058
005105;14058
005098;14059
005113;14059
005005;14100
006005;15010
006048;15010
006055;15010
006063;15010
006065;15010
006071;15010
006078;15010
006084;15010
006092;15010
006093;15010
006104;15010
006106;15010
006110;15010
006112;15010
006119;15010
006125;15010
006134;15010
006136;15010
006139;15010
006143;15010
006144;15010
006172;15010
006187;15010
006001;15011
006017;15012
006019;15013
006036;15015
006090;15015
006043;15016
006052;15017
006165;15018
006168;15019
006027;15020
006050;15020
006057;15020
006059;15020
006077;15020
006097;15020
006099;15020
006113;15020
006116;15020
006117;15020
006135;15020
006153;15020
006159;15020
006164;15020
006182;15020
006184;15020
006004;15021
006015;15022
006068;15023
006091;15024
006109;15025
006031;15026
006122;15026
006133;15027
006142;15028
006163;15029
006026;15030
006060;15030
006061;15030
006118;15030
006149;15030
006150;15030
006171;15030
006175;15030
006185;15030
006011;15031
006020;15032
006039;15033
006056;15034
006072;15035
006082;15036
006193;15037
006120;15038
006123;15039
006023;15040
006051;15040
006073;15040
006094;15040
006105;15040
006115;15040
006128;15040
006129;15040
006131;15040
006145;15040
006173;15040
006178;15040
006007;15041
006013;15042
006076;15043
006141;15044
006151;15045
006154;15046
006192;15047
006177;15048
006179;15049
006008;15050
006010;15050
006016;15050
006024;15050
006030;15050
006041;15050
006046;15050
006058;15050
006062;15050
006079;15050
006086;15050
006087;15050
006096;15050
006098;15050
006102;15050
006107;15050
006108;15050
006124;15050
006137;15050
006156;15050
006158;15050
006166;15050
006183;15050
006186;15050
006189;15050
006032;15051
006045;15051
006040;15052
006053;15053
006067;15054
006132;15055
006066;15056
006083;15056
006155;15056
006174;15057
006181;15058
006101;15059
006188;15059
006002;15060
006012;15060
006018;15060
006022;15060
006025;15060
006028;15060
006029;15060
006034;15060
006035;15060
006049;15060
006069;15060
006070;15060
006085;15060
006100;15060
006103;15060
006126;15060
006127;15060
006146;15060
006148;15060
006152;15060
006157;15060
006162;15060
006167;15060
006170;15060
006180;15060
006190;15060
006009;15061
006021;15062
006191;15063
006074;15064
006075;15065
006081;15066
006114;15067
006138;15068
006160;15069
006014;15070
006038;15070
006044;15070
006054;15070
006088;15070
006169;15070
006176;15070
006033;15071
006037;15072
006047;15073
006095;15074
006111;15075
006121;15076
006140;15077
006147;15078
006161;15079
006003;15121
006003;15122
010020;16010
010032;16010
010033;16010
010051;16010
010055;16010
010057;16010
010058;16010
010061;16010
010065;16010
010066;16010
010001;16011
010006;16012
010008;16013
010009;16014
010014;16014
010012;16015
010017;16016
010027;16017
010035;16018
010049;16019
010022;16020
010026;16020
010003;16021
010021;16022
010024;16023
010031;16024
010038;16025
010050;16025
010039;16026
010045;16027
010052;16028
010062;16029
010011;16030
010013;16030
010018;16030
010037;16030
010063;16030
010004;16031
010043;16031
010060;16031
010007;16032
010028;16033
010044;16034
010046;16035
010067;16035
010002;16036
010047;16036
010064;16036
010054;16038
010059;16039
010019;16040
010023;16040
010029;16040
010040;16040
010041;16040
010042;16040
010053;16040
010005;16041
010010;16042
010015;16043
010016;16044
010030;16045
010034;16046
010036;16047
010048;16048
010056;16049
010025;16121
010025;16122
010025;16123
010025;16124
010025;16125
010025;16126
010025;16127
010025;16128
010025;16129
010025;16131
010025;16132
010025;16133
010025;16134
010025;16135
010025;16136
010025;16137
010025;16138
010025;16139
010025;16141
010025;16142
010025;16143
010025;16144
010025;16145
010025;16146
010025;16147
010025;16148
010025;16149
010025;16151
010025;16152
010025;16153
010025;16154
010025;16155
010025;16156
010025;16157
010025;16158
010025;16159
010025;16161
010025;16162
